U+2A804	𪠄	djnv
U+2A805	𪠅	dfkd
U+2A806	𪠆	duak
U+2A807	𪠇	dfoi
U+2A808	𪠈	dkkn
U+2A809	𪠉	dhqh
U+2A80A	𪠊	djdi
U+2A80B	𪠋	dfhd
U+2A80C	𪠌	dxdm
U+2A80D	𪠍	ddei
U+2A80E	𪠎	dwcn
U+2A80F	𪠏	ddyc
U+2A810	𪠐	dwfg
U+2A811	𪠑	dgef
U+2A812	𪠒	deut
U+2A813	𪠓	damw
U+2A814	𪠔	drxc
U+2A815	𪠕	dnwy
U+2A816	𪠖	dogw
U+2A817	𪠗	rjbk
U+2A818	𪠘	dqeg
U+2A819	𪠙	duey
U+2A81A	𪠚	dttl
U+2A81B	𪠛	dkkt
U+2A81C	𪠜	gcwh
U+2A81D	𪠝	fcnx
U+2A81E	𪠞	qqfc
U+2A81F	𪠟	cdeq
U+2A820	𪠠	ctdw
U+2A821	𪠡	cdew
U+2A822	𪠢	fcow
U+2A823	𪠣	rcu
U+2A824	𪠤	vcy
U+2A825	𪠥	cef
U+2A826	𪠦	dfcy
U+2A827	𪠧	scy
U+2A828	𪠨	ecu
U+2A829	𪠩	wfic
U+2A82A	𪠪	nhfc
U+2A82B	𪠫	uddc
U+2A82C	𪠬	vdcy
U+2A82D	𪠭	rcbg
U+2A82E	𪠮	pwwc
U+2A82F	𪠯	akkc
U+2A830	𪠰	cccj
U+2A831	𪠱	bcfy
U+2A832	𪠲	kcu
U+2A833	𪠳	klh
U+2A834	𪠴	kqry
U+2A835	𪠵	kwxn
U+2A836	𪠶	kwfg
U+2A837	𪠷	krkf
U+2A838	𪠸	ktni
U+2A839	𪠹	pykf
U+2A83A	𪠺	krvy
U+2A83B	𪠻	kgck
U+2A83C	𪠼	kmww
U+2A83D	𪠽	kivg
U+2A83E	𪠾	ktey
U+2A83F	𪠿	kthh
U+2A840	𪡀	ktdj
U+2A841	𪡁	kycq
U+2A842	𪡂	kcah
U+2A843	𪡃	knud
U+2A844	𪡄	kalh
U+2A845	𪡅	gkkf
U+2A846	𪡆	krwn
U+2A847	𪡇	kwqi
U+2A848	𪡈	kwrg
U+2A849	𪡉	ktkh
U+2A84A	𪡊	ket
U+2A84B	𪡋	kwgg
U+2A84C	𪡌	iqwk
U+2A84D	𪡍	ykqh
U+2A84E	𪡎	kewc
U+2A84F	𪡏	klpy
U+2A850	𪡐	dklk
U+2A851	𪡑	skiv
U+2A852	𪡒	kfuf
U+2A853	𪡓	kjxx
U+2A854	𪡔	klah
U+2A855	𪡕	kqrr
U+2A856	𪡖	krld
U+2A857	𪡗	krqw
U+2A858	𪡘	rrkg
U+2A859	𪡙	kyvb
U+2A85A	𪡚	kitg
U+2A85B	𪡛	kusk
U+2A85C	𪡜	dwkq
U+2A85D	𪡝	kawn
U+2A85E	𪡞	kkhm
U+2A85F	𪡟	kwct
U+2A860	𪡠	kriy
U+2A861	𪡡	kqyg
U+2A862	𪡢	ekkj
U+2A863	𪡣	kpgm
U+2A864	𪡤	irek
U+2A865	𪡥	kiaw
U+2A866	𪡦	kuhb
U+2A867	𪡧	kusg
U+2A868	𪡨	knoy
U+2A869	𪡩	kmdo
U+2A86A	𪡪	dfek
U+2A86B	𪡫	kfke
U+2A86C	𪡬	djtk
U+2A86D	𪡭	ksgn
U+2A86E	𪡮	kmfy
U+2A86F	𪡯	kmun
U+2A870	𪡰	kkvb
U+2A871	𪡱	kdin
U+2A872	𪡲	ekgd
U+2A873	𪡳	ukck
U+2A874	𪡴	kynn
U+2A875	𪡵	kike
U+2A876	𪡶	kpqy
U+2A877	𪡷	kbws
U+2A878	𪡸	kruv
U+2A879	𪡹	fnwk
U+2A87A	𪡺	kgom
U+2A87B	𪡻	ahjd
U+2A87C	𪡼	kkhd
U+2A87D	𪡽	kjgg
U+2A87E	𪡾	kttg
U+2A87F	𪡿	kega
U+2A880	𪢀	ktlt
U+2A881	𪢁	kyja
U+2A882	𪢂	kugh
U+2A883	𪢃	kybt
U+2A884	𪢄	knug
U+2A885	𪢅	krnf
U+2A886	𪢆	kftp
U+2A887	𪢇	kssp
U+2A888	𪢈	rgkv
U+2A889	𪢉	ktmk
U+2A88A	𪢊	ktli
U+2A88B	𪢋	kwsm
U+2A88C	𪢌	kugi
U+2A88D	𪢍	kxfk
U+2A88E	𪢎	kbkf
U+2A88F	𪢏	dfeb
U+2A890	𪢐	kgkm
U+2A891	𪢑	ktwk
U+2A892	𪢒	kovt
U+2A893	𪢓	yniw
U+2A894	𪢔	kono
U+2A895	𪢕	kgqm
U+2A896	𪢖	ktqn
U+2A897	𪢗	kpnj
U+2A898	𪢘	kudi
U+2A899	𪢙	kgjh
U+2A89A	𪢚	krjc
U+2A89B	𪢛	kmeh
U+2A89C	𪢜	kqgy
U+2A89D	𪢝	ktfn
U+2A89E	𪢞	xtbk
U+2A89F	𪢟	kykg
U+2A8A0	𪢠	kaui
U+2A8A1	𪢡	tfkk
U+2A8A2	𪢢	fkug
U+2A8A3	𪢣	fkue
U+2A8A4	𪢤	ktdk
U+2A8A5	𪢥	kthp
U+2A8A6	𪢦	sksh
U+2A8A7	𪢧	kbtn
U+2A8A8	𪢨	lyi
U+2A8A9	𪢩	ldhg
U+2A8AA	𪢪	lugk
U+2A8AB	𪢫	llk
U+2A8AC	𪢬	ljxx
U+2A8AD	𪢭	luog
U+2A8AE	𪢮	lyos
U+2A8AF	𪢯	lahq
U+2A8B0	𪢰	lkmy
U+2A8B1	𪢱	fhu
U+2A8B2	𪢲	fcy
U+2A8B3	𪢳	fcnb
U+2A8B4	𪢴	ffg
U+2A8B5	𪢵	fwyy
U+2A8B6	𪢶	tff
U+2A8B7	𪢷	fynn
U+2A8B8	𪢸	ffqn
U+2A8B9	𪢹	fdmn
U+2A8BA	𪢺	fhcy
U+2A8BB	𪢻	feg
U+2A8BC	𪢼	fwxn
U+2A8BD	𪢽	ftgh
U+2A8BE	𪢾	off
U+2A8BF	𪢿	fiy
U+2A8C0	𪣀	fcn
U+2A8C1	𪣁	fcqn
U+2A8C2	𪣂	fbnn
U+2A8C3	𪣃	fgmw
U+2A8C4	𪣄	fdfj
U+2A8C5	𪣅	fann
U+2A8C6	𪣆	faiy
U+2A8C7	𪣇	ftpy
U+2A8C8	𪣈	fwkg
U+2A8C9	𪣉	fyni
U+2A8CA	𪣊	fntt
U+2A8CB	𪣋	fdhb
U+2A8CC	𪣌	fbg
U+2A8CD	𪣍	fjbt
U+2A8CE	𪣎	friy
U+2A8CF	𪣏	fyth
U+2A8D0	𪣐	fofg
U+2A8D1	𪣑	fpey
U+2A8D2	𪣒	fplh
U+2A8D3	𪣓	fnta
U+2A8D4	𪣔	fgkg
U+2A8D5	𪣕	fdqn
U+2A8D6	𪣖	svyf
U+2A8D7	𪣗	dfef
U+2A8D8	𪣘	fknd
U+2A8D9	𪣙	fjug
U+2A8DA	𪣚	fjvg
U+2A8DB	𪣛	ftjh
U+2A8DC	𪣜	ftbt
U+2A8DD	𪣝	fran
U+2A8DE	𪣞	fpqa
U+2A8DF	𪣟	fpqf
U+2A8E0	𪣠	fykg
U+2A8E1	𪣡	itdf
U+2A8E2	𪣢	fiyy
U+2A8E3	𪣣	fvtk
U+2A8E4	𪣤	fajg
U+2A8E5	𪣥	ffhy
U+2A8E6	𪣦	fjeg
U+2A8E7	𪣧	fjjg
U+2A8E8	𪣨	flfh
U+2A8E9	𪣩	fheg
U+2A8EA	𪣪	etaf
U+2A8EB	𪣫	fynj
U+2A8EC	𪣬	fpnn
U+2A8ED	𪣭	ihcf
U+2A8EE	𪣮	finx
U+2A8EF	𪣯	fpeg
U+2A8F0	𪣰	flah
U+2A8F1	𪣱	fuqh
U+2A8F2	𪣲	falg
U+2A8F3	𪣳	fdmf
U+2A8F4	𪣴	fght
U+2A8F5	𪣵	fuxe
U+2A8F6	𪣶	wgsf
U+2A8F7	𪣷	fqmd
U+2A8F8	𪣸	wgsf
U+2A8F9	𪣹	fyks
U+2A8FA	𪣺	fnwk
U+2A8FB	𪣻	fovg
U+2A8FC	𪣼	fyod
U+2A8FD	𪣽	cffb
U+2A8FE	𪣾	fcex
U+2A8FF	𪣿	btaf
U+2A900	𪤀	ahnf
U+2A901	𪤁	fgkf
U+2A902	𪤂	fhlg
U+2A903	𪤃	fjpv
U+2A904	𪤄	flfc
U+2A905	𪤅	fipq
U+2A906	𪤆	frnn
U+2A907	𪤇	fwgk
U+2A908	𪤈	tewf
U+2A909	𪤉	fudi
U+2A90A	𪤊	iyvf
U+2A90B	𪤋	fyrc
U+2A90C	𪤌	fccs
U+2A90D	𪤍	fnae
U+2A90E	𪤎	flpy
U+2A90F	𪤏	fadf
U+2A910	𪤐	ffxh
U+2A911	𪤑	flag
U+2A912	𪤒	fwgl
U+2A913	𪤓	ftxt
U+2A914	𪤔	frny
U+2A915	𪤕	fydg
U+2A916	𪤖	fnhf
U+2A917	𪤗	fnwe
U+2A918	𪤘	cfas
U+2A919	𪤙	ffoy
U+2A91A	𪤚	fbud
U+2A91B	𪤛	ftfn
U+2A91C	𪤜	yyfy
U+2A91D	𪤝	bjgf
U+2A91E	𪤞	fnfp
U+2A91F	𪤟	fmuf
U+2A920	𪤠	fflg
U+2A921	𪤡	fmau
U+2A922	𪤢	fkks
U+2A923	𪤣	ftyn
U+2A924	𪤤	fpyi
U+2A925	𪤥	fujn
U+2A926	𪤦	fgei
U+2A927	𪤧	fegw
U+2A928	𪤨	fthj
U+2A929	𪤩	fqmt
U+2A92A	𪤪	fyuj
U+2A92B	𪤫	fobc
U+2A92C	𪤬	dddf
U+2A92D	𪤭	fhbh
U+2A92E	𪤮	fpdi
U+2A92F	𪤯	fykg
U+2A930	𪤰	ffss
U+2A931	𪤱	akfu
U+2A932	𪤲	fnqh
U+2A933	𪤳	fnkf
U+2A934	𪤴	fpgl
U+2A935	𪤵	tkib
U+2A936	𪤶	ghft
U+2A937	𪤷	qmhh
U+2A938	𪤸	qhqh
U+2A939	𪤹	qoy
U+2A93A	𪤺	qqgn
U+2A93B	𪤻	qqhc
U+2A93C	𪤼	qyvb
U+2A93D	𪤽	fwtq
U+2A93E	𪤾	qfje
U+2A93F	𪤿	qqff
U+2A940	𪥀	oylq
U+2A941	𪥁	dnb
U+2A942	𪥂	dvn
U+2A943	𪥃	fwsj
U+2A944	𪥄	sdu
U+2A945	𪥅	day
U+2A946	𪥆	dwcu
U+2A947	𪥇	gmwd
U+2A948	𪥈	dguf
U+2A949	𪥉	gdcb
U+2A94A	𪥊	fidy
U+2A94B	𪥋	dfiu
U+2A94C	𪥌	tmwd
U+2A94D	𪥍	dgjn
U+2A94E	𪥎	agdu
U+2A94F	𪥏	dywy
U+2A950	𪥐	dwyh
U+2A951	𪥑	dfib
U+2A952	𪥒	kqwd
U+2A953	𪥓	dgmf
U+2A954	𪥔	pwad
U+2A955	𪥕	dnbm
U+2A956	𪥖	jand
U+2A957	𪥗	uejd
U+2A958	𪥘	ukhd
U+2A959	𪥙	rkad
U+2A95A	𪥚	dufq
U+2A95B	𪥛	ujnd
U+2A95C	𪥜	dkka
U+2A95D	𪥝	tgjd
U+2A95E	𪥞	ugld
U+2A95F	𪥟	ftgd
U+2A960	𪥠	mmmd
U+2A961	𪥡	bued
U+2A962	𪥢	yood
U+2A963	𪥣	exdk
U+2A964	𪥤	hgvf
U+2A965	𪥥	vthh
U+2A966	𪥦	vgxg
U+2A967	𪥧	vhg
U+2A968	𪥨	vjg
U+2A969	𪥩	vhcy
U+2A96A	𪥪	vwwn
U+2A96B	𪥫	vccy
U+2A96C	𪥬	vcqn
U+2A96D	𪥭	vmsh
U+2A96E	𪥮	vhjg
U+2A96F	𪥯	qhvc
U+2A970	𪥰	vpsh
U+2A971	𪥱	vgmi
U+2A972	𪥲	vtdy
U+2A973	𪥳	vkmh
U+2A974	𪥴	thvf
U+2A975	𪥵	vng
U+2A976	𪥶	vtgb
U+2A977	𪥷	wrvf
U+2A978	𪥸	qrvb
U+2A979	𪥹	vywe
U+2A97A	𪥺	eaev
U+2A97B	𪥻	vftp
U+2A97C	𪥼	vgvv
U+2A97D	𪥽	vdey
U+2A97E	𪥾	vdqh
U+2A97F	𪥿	vfnd
U+2A980	𪦀	vayn
U+2A981	𪦁	vtln
U+2A982	𪦂	vtmd
U+2A983	𪦃	vohk
U+2A984	𪦄	vcjy
U+2A985	𪦅	vvlr
U+2A986	𪦆	vdpu
U+2A987	𪦇	vfff
U+2A988	𪦈	vajv
U+2A989	𪦉	vigy
U+2A98A	𪦊	vkkn
U+2A98B	𪦋	vwdc
U+2A98C	𪦌	vfqv
U+2A98D	𪦍	ynvq
U+2A98E	𪦎	vyde
U+2A98F	𪦏	vxin
U+2A990	𪦐	vvkt
U+2A991	𪦑	ahnv
U+2A992	𪦒	vhay
U+2A993	𪦓	vhna
U+2A994	𪦔	vwgk
U+2A995	𪦕	vwrq
U+2A996	𪦖	vyus
U+2A997	𪦗	vdev
U+2A998	𪦘	vftt
U+2A999	𪦙	vaty
U+2A99A	𪦚	vmty
U+2A99B	𪦛	vpwd
U+2A99C	𪦜	vifj
U+2A99D	𪦝	vyky
U+2A99E	𪦞	vnrg
U+2A99F	𪦟	vbyu
U+2A9A0	𪦠	cocv
U+2A9A1	𪦡	vgmi
U+2A9A2	𪦢	veqg
U+2A9A3	𪦣	vwtf
U+2A9A4	𪦤	vxii
U+2A9A5	𪦥	xxvf
U+2A9A6	𪦦	vfqy
U+2A9A7	𪦧	vfbh
U+2A9A8	𪦨	vlqj
U+2A9A9	𪦩	vmxt
U+2A9AA	𪦪	vtln
U+2A9AB	𪦫	vutk
U+2A9AC	𪦬	vahm
U+2A9AD	𪦭	vdwo
U+2A9AE	𪦮	vlll
U+2A9AF	𪦯	vooy
U+2A9B0	𪦰	vgkk
U+2A9B1	𪦱	vooj
U+2A9B2	𪦲	vckm
U+2A9B3	𪦳	vjgr
U+2A9B4	𪦴	vtuj
U+2A9B5	𪦵	fhwv
U+2A9B6	𪦶	bfcy
U+2A9B7	𪦷	bat
U+2A9B8	𪦸	bywy
U+2A9B9	𪦹	byy
U+2A9BA	𪦺	brg
U+2A9BB	𪦻	wgkb
U+2A9BC	𪦼	brqy
U+2A9BD	𪦽	ynab
U+2A9BE	𪦾	bjnw
U+2A9BF	𪦿	bwge
U+2A9C0	𪧀	bmmv
U+2A9C1	𪧁	blfh
U+2A9C2	𪧂	ahnb
U+2A9C3	𪧃	ykbf
U+2A9C4	𪧄	brcc
U+2A9C5	𪧅	pgmj
U+2A9C6	𪧆	pnyu
U+2A9C7	𪧇	pnhd
U+2A9C8	𪧈	plf
U+2A9C9	𪧉	pwer
U+2A9CA	𪧊	prkf
U+2A9CB	𪧋	pqvf
U+2A9CC	𪧌	pcsu
U+2A9CD	𪧍	pfqh
U+2A9CE	𪧎	pkhu
U+2A9CF	𪧏	ploi
U+2A9D0	𪧐	pwrf
U+2A9D1	𪧑	pawu
U+2A9D2	𪧒	pwtk
U+2A9D3	𪧓	pirf
U+2A9D4	𪧔	pawe
U+2A9D5	𪧕	pfrm
U+2A9D6	𪧖	prou
U+2A9D7	𪧗	pwwl
U+2A9D8	𪧘	povf
U+2A9D9	𪧙	pccv
U+2A9DA	𪧚	pbpf
U+2A9DB	𪧛	pdji
U+2A9DC	𪧜	pfyt
U+2A9DD	𪧝	payo
U+2A9DE	𪧞	pttx
U+2A9DF	𪧟	pnth
U+2A9E0	𪧠	pntg
U+2A9E1	𪧡	fhnf
U+2A9E2	𪧢	pfwy
U+2A9E3	𪧣	pati
U+2A9E4	𪧤	ptmt
U+2A9E5	𪧥	ppym
U+2A9E6	𪧦	pawi
U+2A9E7	𪧧	pgcf
U+2A9E8	𪧨	pjbc
U+2A9E9	𪧩	pwdv
U+2A9EA	𪧪	pvtl
U+2A9EB	𪧫	pdco
U+2A9EC	𪧬	psgm
U+2A9ED	𪧭	pusr
U+2A9EE	𪧮	pcna
U+2A9EF	𪧯	ptha
U+2A9F0	𪧰	pgke
U+2A9F1	𪧱	pawk
U+2A9F2	𪧲	pssc
U+2A9F3	𪧳	pswf
U+2A9F4	𪧴	pnlw
U+2A9F5	𪧵	ppgv
U+2A9F6	𪧶	pglj
U+2A9F7	𪧷	qfu
U+2A9F8	𪧸	ffwf
U+2A9F9	𪧹	uwgf
U+2A9FA	𪧺	jghf
U+2A9FB	𪧻	tmdg
U+2A9FC	𪧼	pqdf
U+2A9FD	𪧽	dhff
U+2A9FE	𪧾	vfmy
U+2A9FF	𪧿	mwiy
U+2AA00	𪨀	ibmh
U+2AA01	𪨁	ebiy
U+2AA02	𪨂	yogi
U+2AA03	𪨃	iryf
U+2AA04	𪨄	itwm
U+2AA05	𪨅	itdy
U+2AA06	𪨆	itoe
U+2AA07	𪨇	gqkm
U+2AA08	𪨈	dnyj
U+2AA09	𪨉	ngmk
U+2AA0A	𪨊	nwwi
