U+3250C	𲔌	ccle
U+3250D	𲔍	kqn
U+3250E	𲔎	kfg
U+3250F	𲔏	kiy
U+32510	𲔐	kdwy
U+32511	𲔑	fkxb
U+32512	𲔒	kwry
U+32513	𲔓	kmyg
U+32514	𲔔	ywkf
U+32515	𲔕	ckxb
U+32516	𲔖	kxt
U+32517	𲔗	fkxb
U+32518	𲔘	fkxb
U+32519	𲔙	kgmg
U+3251A	𲔚	kaen
U+3251B	𲔛	klen
U+3251C	𲔜	kjn
U+3251D	𲔝	kwkg
U+3251E	𲔞	bkxb
U+3251F	𲔟	fbkf
U+32520	𲔠	kfbb
U+32521	𲔡	gkxb
U+32522	𲔢	akxb
U+32523	𲔣	kgmg
U+32524	𲔤	kmrj
U+32525	𲔥	tfnx
U+32526	𲔦	kwsy
U+32527	𲔧	ykxb
U+32528	𲔨	pkxb
U+32529	𲔩	kunw
U+3252A	𲔪	kuhb
U+3252B	𲔫	kege
U+3252C	𲔬	ankx
U+3252D	𲔭	krgx
U+3252E	𲔮	krry
U+3252F	𲔯	kahb
U+32530	𲔰	kgiy
U+32531	𲔱	uxkx
U+32532	𲔲	kjvg
U+32533	𲔳	kefh
U+32534	𲔴	kisy
U+32535	𲔵	kiwc
U+32536	𲔶	ukqk
U+32537	𲔷	kukq
U+32538	𲔸	kniy
U+32539	𲔹	kxbg
U+3253A	𲔺	brkf
U+3253B	𲔻	kgdh
U+3253C	𲔼	adkx
U+3253D	𲔽	kfrg
U+3253E	𲔾	kfee
U+3253F	𲔿	krqb
U+32540	𲕀	kflg
U+32541	𲕁	kgfl
U+32542	𲕂	kqrk
U+32543	𲕃	kksk
U+32544	𲕄	kjeg
U+32545	𲕅	klgj
U+32546	𲕆	qqkx
U+32547	𲕇	vksk
U+32548	𲕈	wvtx
U+32549	𲕉	thkx
U+3254A	𲕊	rikx
U+3254B	𲕋	krgm
U+3254C	𲕌	ktyg
U+3254D	𲕍	kyny
U+3254E	𲕎	kinx
U+3254F	𲕏	kowf
U+32550	𲕐	knck
U+32551	𲕑	koyw
U+32552	𲕒	kugc
U+32553	𲕓	kywu
U+32554	𲕔	knnx
U+32555	𲕕	kyoc
U+32556	𲕖	kysy
U+32557	𲕗	gkkx
U+32558	𲕘	giyx
U+32559	𲕙	rfwx
U+3255A	𲕚	kfhr
U+3255B	𲕛	ksqb
U+3255C	𲕜	kdqj
