U+31526	𱔦	kimj
U+31527	𱔧	kytf
U+31528	𱔨	kyee
U+31529	𱔩	kula
U+3152A	𱔪	kywy
U+3152B	𱔫	kpwk
U+3152C	𱔬	kijl
U+3152D	𱔭	kyoj
U+3152E	𱔮	kuge
U+3152F	𱔯	knbb
U+31530	𱔰	knhk
U+31531	𱔱	kblg
U+31532	𱔲	kxwk
U+31533	𱔳	fkuv
U+31534	𱔴	kfwc
U+31535	𱔵	kshn
U+31536	𱔶	ksbg
U+31537	𱔷	kged
U+31538	𱔸	krll
U+31539	𱔹	ksov
U+3153A	𱔺	kfxj
U+3153B	𱔻	kaqt
U+3153C	𱔼	kkho
U+3153D	𱔽	khgh
U+3153E	𱔾	khtg
U+3153F	𱔿	kqej
U+31540	𱕀	kpws
U+31541	𱕁	kied
U+31542	𱕂	bqrx
U+31543	𱕃	knhp
U+31544	𱕄	kvjj
U+31545	𱕅	kdsj
U+31546	𱕆	ksgk
U+31547	𱕇	ksui
U+31548	𱕈	kajf
U+31549	𱕉	kjse
U+3154A	𱕊	kkhp
U+3154B	𱕋	ktha
U+3154C	𱕌	ktlq
U+3154D	𱕍	ktaw
U+3154E	𱕎	rgkv
U+3154F	𱕏	txdk
U+31550	𱕐	kpne
U+31551	𱕑	kujk
U+31552	𱕒	kytx
U+31553	𱕓	dfet
U+31554	𱕔	kaan
U+31555	𱕕	krwc
U+31556	𱕖	ksde
U+31557	𱕗	kfwl
U+31558	𱕘	kito
U+31559	𱕙	kkhi
U+3155A	𱕚	kwww
U+3155B	𱕛	kisf
U+3155C	𱕜	kofe
U+3155D	𱕝	ksuj
U+3155E	𱕞	fnwk
U+3155F	𱕟	ksaw
U+31560	𱕠	kgkh
U+31561	𱕡	fjgk
U+31562	𱕢	ktgi
U+31563	𱕣	kyfj
U+31564	𱕤	kbww
U+31565	𱕥	kcoy
U+31566	𱕦	kaky
U+31567	𱕧	kati
U+31568	𱕨	kaqr
U+31569	𱕩	qegx
U+3156A	𱕪	krlx
U+3156B	𱕫	kyxy
U+3156C	𱕬	kyad
U+3156D	𱕭	akfw
U+3156E	𱕮	ksrr
U+3156F	𱕯	kdjo
U+31570	𱕰	kyny
U+31571	𱕱	knbn
U+31572	𱕲	kaxl
U+31573	𱕳	kukq
U+31574	𱕴	awwk
U+31575	𱕵	kklw
U+31576	𱕶	kkaf
U+31577	𱕷	kqkq
U+31578	𱕸	lnny
U+31579	𱕹	lqnv
U+3157A	𱕺	lji
U+3157B	𱕻	loi
U+3157C	𱕼	ludi
U+3157D	𱕽	lpei
U+3157E	𱕾	xxlk
U+3157F	𱕿	lwwk
U+31580	𱖀	lqaj
U+31581	𱖁	lnhq
U+31582	𱖂	lvii
U+31583	𱖃	lawn
U+31584	𱖄	lyna
U+31585	𱖅	dhlm
U+31586	𱖆	mfd
U+31587	𱖇	ffh
U+31588	𱖈	fgqn
U+31589	𱖉	vff
U+3158A	𱖊	fitt
U+3158B	𱖋	wxff
U+3158C	𱖌	wbff
U+3158D	𱖍	fwcy
U+3158E	𱖎	ftdy
U+3158F	𱖏	fwbn
U+31590	𱖐	yff
U+31591	𱖑	fang
U+31592	𱖒	ffxy
U+31593	𱖓	gyff
U+31594	𱖔	mggf
U+31595	𱖕	fkwy
U+31596	𱖖	fhgg
U+31597	𱖗	qhff
U+31598	𱖘	fthy
U+31599	𱖙	fwmh
U+3159A	𱖚	qiff
U+3159B	𱖛	fwhg
U+3159C	𱖜	fcfg
U+3159D	𱖝	fgmf
U+3159E	𱖞	fdhf
U+3159F	𱖟	fagg
U+315A0	𱖠	ftxf
U+315A1	𱖡	fwfy
U+315A2	𱖢	fite
U+315A3	𱖣	jjcf
U+315A4	𱖤	fwtf
U+315A5	𱖥	fqcn
U+315A6	𱖦	wwwf
U+315A7	𱖧	fukh
U+315A8	𱖨	fyey
U+315A9	𱖩	fept
U+315AA	𱖪	dwwf
U+315AB	𱖫	faww
U+315AC	𱖬	fgoy
U+315AD	𱖭	famy
U+315AE	𱖮	flsy
U+315AF	𱖯	fmqg
U+315B0	𱖰	fevg
U+315B1	𱖱	frdh
U+315B2	𱖲	fujg
U+315B3	𱖳	fpwa
U+315B4	𱖴	fpeg
U+315B5	𱖵	vkbf
U+315B6	𱖶	fifg
U+315B7	𱖷	fnfc
