U+3011C	𰄜	njh
U+3011D	𰄝	nrjh
U+3011E	𰄞	fnyj
U+3011F	𰄟	dhjh
U+30120	𰄠	fcvt
U+30121	𰄡	vqrt
U+30122	𰄢	yvt
U+30123	𰄣	uxvb
U+30124	𰄤	vqnn
U+30125	𰄥	vyyy
U+30126	𰄦	uvr
U+30127	𰄧	vgqj
U+30128	𰄨	dahj
U+30129	𰄩	thjh
U+3012A	𰄪	rsvt
U+3012B	𰄫	vtmk
U+3012C	𰄬	dpjh
U+3012D	𰄭	gmyj
U+3012E	𰄮	vgiy
U+3012F	𰄯	gojh
U+30130	𰄰	tfpj
U+30131	𰄱	wvsg
U+30132	𰄲	qvit
U+30133	𰄳	fjgv
U+30134	𰄴	djnv
U+30135	𰄵	rsjv
U+30136	𰄶	vcde
U+30137	𰄷	vrtd
U+30138	𰄸	vmjh
U+30139	𰄹	mjvt
U+3013A	𰄺	yupj
U+3013B	𰄻	lpjh
U+3013C	𰄼	rsjg
U+3013D	𰄽	onrv
U+3013E	𰄾	gwwj
U+3013F	𰄿	fpgv
U+30140	𰅀	vsss
U+30141	𰅁	vpdj
U+30142	𰅂	nftj
U+30143	𰅃	sqsv
U+30144	𰅄	pwfj
U+30145	𰅅	akfj
U+30146	𰅆	gmif
U+30147	𰅇	yumv
U+30148	𰅈	qkqj
U+30149	𰅉	fjet
U+3014A	𰅊	jger
U+3014B	𰅋	uxet
U+3014C	𰅌	enan
U+3014D	𰅍	gude
U+3014E	𰅎	etgs
U+3014F	𰅏	ekhn
U+30150	𰅐	belf
U+30151	𰅑	fjle
U+30152	𰅒	qtve
U+30153	𰅓	vcae
U+30154	𰅔	hane
U+30155	𰅕	gmae
U+30156	𰅖	gqje
U+30157	𰅗	etqg
U+30158	𰅘	egei
U+30159	𰅙	gate
U+3015A	𰅚	ekon
U+3015B	𰅛	qwi
U+3015C	𰅜	qrmg
U+3015D	𰅝	qcqg
U+3015E	𰅞	wdyn
U+3015F	𰅟	qnaw
U+30160	𰅠	qtjn
U+30161	𰅡	ftxn
U+30162	𰅢	xxqw
U+30163	𰅣	dqux
U+30164	𰅤	ati
U+30165	𰅥	afnd
U+30166	𰅦	ailk
U+30167	𰅧	ashd
U+30168	𰅨	alrk
U+30169	𰅩	aewm
U+3016A	𰅪	afci
U+3016B	𰅫	aqbk
U+3016C	𰅬	akhc
U+3016D	𰅭	wfj
U+3016E	𰅮	bfj
U+3016F	𰅯	nnnf
U+30170	𰅰	fmhg
U+30171	𰅱	rbfj
U+30172	𰅲	anfj
U+30173	𰅳	guwf
U+30174	𰅴	fmdu
U+30175	𰅵	xrbf
U+30176	𰅶	dcb
U+30177	𰅷	fvhg
U+30178	𰅸	fdey
U+30179	𰅹	fmhc
U+3017A	𰅺	xfmf
U+3017B	𰅻	wxfl
U+3017C	𰅼	wgso
U+3017D	𰅽	adqy
U+3017E	𰅾	yupa
U+3017F	𰅿	wgfe
U+30180	𰆀	fmuf
U+30181	𰆁	taaf
U+30182	𰆂	fmuf
U+30183	𰆃	hldu
U+30184	𰆄	hjhd
U+30185	𰆅	hlgk
U+30186	𰆆	hmfh
U+30187	𰆇	hmcc
U+30188	𰆈	hwwd
U+30189	𰆉	hmab
U+3018A	𰆊	bnh
U+3018B	𰆋	bbh
U+3018C	𰆌	jbj
U+3018D	𰆍	tfbh
U+3018E	𰆎	ebyy
U+3018F	𰆏	thbj
U+30190	𰆐	jfbj
U+30191	𰆑	ftyb
U+30192	𰆒	tobj
U+30193	𰆓	dwwy
U+30194	𰆔	nkay
U+30195	𰆕	dyri
U+30196	𰆖	dfqv
U+30197	𰆗	dyi
U+30198	𰆘	dtgd
U+30199	𰆙	dgoi
U+3019A	𰆚	dwgg
U+3019B	𰆛	dfyn
U+3019C	𰆜	dhgc
U+3019D	𰆝	djye
U+3019E	𰆞	devv
U+3019F	𰆟	doed
U+301A0	𰆠	dfye
U+301A1	𰆡	dffw
U+301A2	𰆢	dffc
U+301A3	𰆣	dffc
U+301A4	𰆤	drvc
U+301A5	𰆥	dujn
U+301A6	𰆦	dxxv
U+301A7	𰆧	dqik
U+301A8	𰆨	dawu
U+301A9	𰆩	drde
U+301AA	𰆪	dafy
U+301AB	𰆫	dfyl
U+301AC	𰆬	drii
U+301AD	𰆭	cwyu
U+301AE	𰆮	cdfq
U+301AF	𰆯	fcjf
U+301B0	𰆰	ttcu
U+301B1	𰆱	dhcy
U+301B2	𰆲	bhgc
U+301B3	𰆳	cwxn
U+301B4	𰆴	fycu
U+301B5	𰆵	byfk
U+301B6	𰆶	cvhh
U+301B7	𰆷	cdnj
U+301B8	𰆸	hcu
U+301B9	𰆹	mcy
U+301BA	𰆺	thfc
U+301BB	𰆻	cffg
U+301BC	𰆼	bcbc
U+301BD	𰆽	ccqc
U+301BE	𰆾	byud
U+301BF	𰆿	wwnc
U+301C0	𰇀	hpgc
U+301C1	𰇁	cyce
U+301C2	𰇂	ebcu
U+301C3	𰇃	ccci
U+301C4	𰇄	tjtc
U+301C5	𰇅	cdmh
U+301C6	𰇆	cccc
U+301C7	𰇇	kfg
U+301C8	𰇈	uknb
U+301C9	𰇉	xkf
U+301CA	𰇊	kfny
U+301CB	𰇋	mykf
U+301CC	𰇌	takf
U+301CD	𰇍	cckf
U+301CE	𰇎	kaiy
U+301CF	𰇏	khg
U+301D0	𰇐	klg
U+301D1	𰇑	mmgk
U+301D2	𰇒	kwtn
U+301D3	𰇓	kgmh
U+301D4	𰇔	fwkx
U+301D5	𰇕	kgud
U+301D6	𰇖	kfce
U+301D7	𰇗	krkg
U+301D8	𰇘	kmjh
U+301D9	𰇙	mykx
U+301DA	𰇚	kqwh
U+301DB	𰇛	kwdy
U+301DC	𰇜	krnr
U+301DD	𰇝	pkcu
U+301DE	𰇞	kyjj
U+301DF	𰇟	ymik
U+301E0	𰇠	ekwx
U+301E1	𰇡	kxtn
U+301E2	𰇢	kcsy
U+301E3	𰇣	kcay
U+301E4	𰇤	dkxb
U+301E5	𰇥	kgqp
U+301E6	𰇦	kfgn
U+301E7	𰇧	kfnw
U+301E8	𰇨	kwkx
U+301E9	𰇩	mkf
U+301EA	𰇪	kkkh
U+301EB	𰇫	kkcb
U+301EC	𰇬	kqyy
U+301ED	𰇭	pvyk
U+301EE	𰇮	bywk
U+301EF	𰇯	ngbk
U+301F0	𰇰	knfy
U+301F1	𰇱	kgnk
U+301F2	𰇲	kwym
U+301F3	𰇳	kqky
U+301F4	𰇴	wgku
U+301F5	𰇵	krnr
U+301F6	𰇶	kduf
U+301F7	𰇷	kyty
U+301F8	𰇸	kyah
U+301F9	𰇹	kifc
U+301FA	𰇺	ovwk
U+301FB	𰇻	kbdi
U+301FC	𰇼	kcde
U+301FD	𰇽	kntj
U+301FE	𰇾	ngkk
U+301FF	𰇿	gkux
U+30200	𰈀	fhkx
U+30201	𰈁	krqi
U+30202	𰈂	kgct
U+30203	𰈃	krxj
U+30204	𰈄	krwk
U+30205	𰈅	lhdx
U+30206	𰈆	kjtq
U+30207	𰈇	kipc
U+30208	𰈈	khah
U+30209	𰈉	kuxe
U+3020A	𰈊	khko
U+3020B	𰈋	kqtj
U+3020C	𰈌	iitx
U+3020D	𰈍	kusy
U+3020E	𰈎	kphi
U+3020F	𰈏	kbcl
U+30210	𰈐	kvyb
U+30211	𰈑	adwx
U+30212	𰈒	kdmn
U+30213	𰈓	kjtl
U+30214	𰈔	klge
U+30215	𰈕	rnrx
U+30216	𰈖	tdhx
U+30217	𰈗	tdkx
U+30218	𰈘	ktws
U+30219	𰈙	ktew
U+3021A	𰈚	kprw
U+3021B	𰈛	yvrk
U+3021C	𰈜	puvk
U+3021D	𰈝	kbmy
U+3021E	𰈞	knqh
U+3021F	𰈟	tdkk
U+30220	𰈠	ndhx
U+30221	𰈡	kwmt
U+30222	𰈢	ktjg
U+30223	𰈣	kwhe
U+30224	𰈤	ktug
U+30225	𰈥	keuq
U+30226	𰈦	kwgl
U+30227	𰈧	tewk
U+30228	𰈨	ktdp
U+30229	𰈩	gdkw
U+3022A	𰈪	kakn
U+3022B	𰈫	gvkk
U+3022C	𰈬	kkkt
U+3022D	𰈭	kwyo
U+3022E	𰈮	kxaf
U+3022F	𰈯	kfmy
U+30230	𰈰	kjec
U+30231	𰈱	ktfw
U+30232	𰈲	kqrw
U+30233	𰈳	tydk
U+30234	𰈴	ossx
U+30235	𰈵	pgkx
U+30236	𰈶	kxgf
U+30237	𰈷	ftyx
U+30238	𰈸	kbci
U+30239	𰈹	kgkf
U+3023A	𰈺	fkuk
U+3023B	𰈻	kkln
U+3023C	𰈼	kwgm
U+3023D	𰈽	ykqs
U+3023E	𰈾	kdno
U+3023F	𰈿	khqf
U+30240	𰉀	kwsm
U+30241	𰉁	kutm
U+30242	𰉂	kyut
U+30243	𰉃	kiaf
U+30244	𰉄	ktfm
U+30245	𰉅	kqmm
U+30246	𰉆	krpb
U+30247	𰉇	fkue
U+30248	𰉈	qojd
U+30249	𰉉	kqog
U+3024A	𰉊	krmf
U+3024B	𰉋	kond
U+3024C	𰉌	kueh
U+3024D	𰉍	lwgn
U+3024E	𰉎	lnhd
U+3024F	𰉏	lhkd
U+30250	𰉐	ldf
U+30251	𰉑	lduf
U+30252	𰉒	dwwk
U+30253	𰉓	lkdf
U+30254	𰉔	ladm
U+30255	𰉕	fnb
U+30256	𰉖	fan
U+30257	𰉗	uff
U+30258	𰉘	ffnh
U+30259	𰉙	fmry
U+3025A	𰉚	fmqn
U+3025B	𰉛	gdff
U+3025C	𰉜	fwgn
U+3025D	𰉝	ftfn
U+3025E	𰉞	fxhh
U+3025F	𰉟	fuxn
U+30260	𰉠	ftdc
U+30261	𰉡	ftug
U+30262	𰉢	uff
U+30263	𰉣	fcgh
U+30264	𰉤	hcff
U+30265	𰉥	fgud
U+30266	𰉦	fdeg
U+30267	𰉧	ddyf
U+30268	𰉨	fbgh
U+30269	𰉩	ftdj
U+3026A	𰉪	fwxf
U+3026B	𰉫	fwqb
U+3026C	𰉬	fwgq
U+3026D	𰉭	fqjf
U+3026E	𰉮	fgki
U+3026F	𰉯	dnxf
U+30270	𰉰	ffmd
U+30271	𰉱	fwgg
U+30272	𰉲	fqkq
U+30273	𰉳	frfh
U+30274	𰉴	fpqe
U+30275	𰉵	fntn
U+30276	𰉶	fikg
U+30277	𰉷	dhkf
U+30278	𰉸	aqaf
U+30279	𰉹	swcf
U+3027A	𰉺	fqoy
U+3027B	𰉻	fepc
U+3027C	𰉼	eeff
U+3027D	𰉽	fipb
U+3027E	𰉾	fywy
U+3027F	𰉿	cqof
U+30280	𰊀	vckf
U+30281	𰊁	fsry
U+30282	𰊂	fgkh
U+30283	𰊃	fglg
U+30284	𰊄	fith
U+30285	𰊅	fqku
U+30286	𰊆	ftdi
U+30287	𰊇	irgf
U+30288	𰊈	nhdf
U+30289	𰊉	ugef
U+3028A	𰊊	fuxx
U+3028B	𰊋	fnut
U+3028C	𰊌	fnaf
U+3028D	𰊍	ffke
U+3028E	𰊎	dhfk
U+3028F	𰊏	fgqs
U+30290	𰊐	flqt
U+30291	𰊑	fjtl
U+30292	𰊒	fana
U+30293	𰊓	fljn
U+30294	𰊔	fthn
U+30295	𰊕	fomk
