U+35ED	㗭	kton
U+35EE	㗮	qkow
U+35EF	㗯	ftjx
U+35F0	㗰	ktwh
U+35F1	㗱	kwys
U+35F2	㗲	kvfg
U+35F3	㗳	ktwk
U+35F4	㗴	kueg
U+35F5	㗵	koow
U+35F6	㗶	kwxc
U+35F7	㗷	kpam
U+35F8	㗸	ktrs
U+35F9	㗹	kwyn
U+35FA	㗺	kgdd
U+35FB	㗻	kmnp
U+35FC	㗼	kogi
U+35FD	㗽	xtyk
U+35FE	㗾	kakx
U+35FF	㗿	kusk
U+3600	㘀	keoy
U+3601	㘁	klff
U+3602	㘂	kuxn
U+3603	㘃	kadn
U+3604	㘄	ksly
U+3605	㘅	ktqs
U+3606	㘆	kfkf
U+3607	㘇	koos
U+3608	㘈	kxth
U+3609	㘉	ktvb
U+360A	㘊	kfyg
U+360B	㘋	kahm
U+360C	㘌	khaj
U+360D	㘍	kiwa
U+360E	㘎	kunt
U+360F	㘏	uthx
U+3610	㘐	kcor
U+3611	㘑	kffi
U+3612	㘒	ttgx
U+3613	㘓	kugi
U+3614	㘔	kpam
U+3615	㘕	kaal
U+3616	㘖	kutm
U+3617	㘗	khhy
U+3618	㘘	yxxk
U+3619	㘙	kkkt
U+361A	㘚	kunt
U+361B	㘛	kwgd
U+361C	㘜	ywyk
U+361D	㘝	lci
U+361E	㘞	lee
U+361F	㘟	lak
U+3620	㘠	lnte
U+3621	㘡	llk
U+3622	㘢	ligq
U+3623	㘣	lked
U+3624	㘤	lijg
U+3625	㘥	leri
U+3626	㘦	fet
U+3627	㘧	fcnh
U+3628	㘨	fmwy
U+3629	㘩	fxxn
U+362A	㘪	ftfn
U+362B	㘫	ffjh
U+362C	㘬	fqcy
U+362D	㘭	fxnn
U+362E	㘮	fnyy
U+362F	㘯	ftet
U+3630	㘰	fufh
U+3631	㘱	fmfg
U+3632	㘲	fnvn
U+3633	㘳	uxff
U+3634	㘴	kwfd
U+3635	㘵	fdmh
U+3636	㘶	qahf
U+3637	㘷	fary
U+3638	㘸	gqxf
U+3639	㘹	hxff
U+363A	㘺	fway
U+363B	㘻	fldy
U+363C	㘼	fftn
U+363D	㘽	ffxy
U+363E	㘾	fpgf
U+363F	㘿	fjfg
U+3640	㙀	fpwv
